domain,venue,year,title,authors,track,stable_id,landing_url,pdf_url,status,failure_reason,attempts,last_attempt
AI,CVPR,2026,EvoID: Reinforced Evolution for Identity-Preserving Video Generation,,main,/content/CVPR2026/html/Zhang_EvoID_Reinforced_Evolution_for_Identity-Preserving_Video_Generation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_EvoID_Reinforced_Evolution_for_Identity-Preserving_Video_Generation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_EvoID_Reinforced_Evolution_for_Identity-Preserving_Video_Generation_CVPR_2026_paper.pdf,http_error,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>,2,2026-09-20T02:34:49+08:00
AI,CVPR,2026,CogniVerse: Revolutionizing Multi-Modal Retrieval-Augmented Generation with Cognitive Reflection and Geometric Reasoning,,main,/content/CVPR2026/html/Fang_CogniVerse_Revolutionizing_Multi-Modal_Retrieval-Augmented_Generation_with_Cognitive_Reflection_and_Geometric_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Fang_CogniVerse_Revolutionizing_Multi-Modal_Retrieval-Augmented_Generation_with_Cognitive_Reflection_and_Geometric_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Fang_CogniVerse_Revolutionizing_Multi-Modal_Retrieval-Augmented_Generation_with_Cognitive_Reflection_and_Geometric_CVPR_2026_paper.pdf,http_error,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>,2,2026-09-20T02:34:50+08:00
AI,CVPR,2026,Batman: Benign Knowledge Alignment Through Malicious Null Space in Federated Backdoor Attack,,main,/content/CVPR2026/html/He_Batman_Benign_Knowledge_Alignment_Through_Malicious_Null_Space_in_Federated_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/He_Batman_Benign_Knowledge_Alignment_Through_Malicious_Null_Space_in_Federated_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/He_Batman_Benign_Knowledge_Alignment_Through_Malicious_Null_Space_in_Federated_CVPR_2026_paper.pdf,http_error,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>,2,2026-09-20T02:34:51+08:00
AI,CVPR,2026,Bezier Degradation Modeling for LiDAR-based Human Motion Capture,,main,/content/CVPR2026/html/An_Bezier_Degradation_Modeling_for_LiDAR-based_Human_Motion_Capture_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/An_Bezier_Degradation_Modeling_for_LiDAR-based_Human_Motion_Capture_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/An_Bezier_Degradation_Modeling_for_LiDAR-based_Human_Motion_Capture_CVPR_2026_paper.pdf,http_error,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>,2,2026-09-20T02:34:52+08:00
AI,CVPR,2026,Enhancing Spatial Understanding in Image Generation via Reward Modeling,,main,/content/CVPR2026/html/Tang_Enhancing_Spatial_Understanding_in_Image_Generation_via_Reward_Modeling_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Tang_Enhancing_Spatial_Understanding_in_Image_Generation_via_Reward_Modeling_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Tang_Enhancing_Spatial_Understanding_in_Image_Generation_via_Reward_Modeling_CVPR_2026_paper.pdf,http_error,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>,2,2026-09-20T02:34:52+08:00
AI,CVPR,2026,Towards Efficient Medical Reasoning with Minimal Fine-Tuning Data,,main,/content/CVPR2026/html/Zhuang_Towards_Efficient_Medical_Reasoning_with_Minimal_Fine-Tuning_Data_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Zhuang_Towards_Efficient_Medical_Reasoning_with_Minimal_Fine-Tuning_Data_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhuang_Towards_Efficient_Medical_Reasoning_with_Minimal_Fine-Tuning_Data_CVPR_2026_paper.pdf,http_error,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>,2,2026-09-20T02:34:53+08:00
AI,CVPR,2026,The SA-FARI Dataset: Segment Anything in Footage of Animals for Recognition and Identification,,main,/content/CVPR2026/html/Wasmuht_The_SA-FARI_Dataset_Segment_Anything_in_Footage_of_Animals_for_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Wasmuht_The_SA-FARI_Dataset_Segment_Anything_in_Footage_of_Animals_for_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wasmuht_The_SA-FARI_Dataset_Segment_Anything_in_Footage_of_Animals_for_CVPR_2026_paper.pdf,http_error,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>,2,2026-09-20T02:34:54+08:00
AI,CVPR,2026,Flow4DGS-SLAM: Optical Flow-Guided 4D Gaussian Splatting SLAM,,main,/content/CVPR2026/html/Wang_Flow4DGS-SLAM_Optical_Flow-Guided_4D_Gaussian_Splatting_SLAM_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_Flow4DGS-SLAM_Optical_Flow-Guided_4D_Gaussian_Splatting_SLAM_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_Flow4DGS-SLAM_Optical_Flow-Guided_4D_Gaussian_Splatting_SLAM_CVPR_2026_paper.pdf,http_error,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>,2,2026-09-20T02:34:55+08:00
AI,CVPR,2026,Adaptive Anisotropic Gaussian Splatting for Multi-contrast MRI Arbitrary-Scale Super-Resolution with Anatomy Guidance,,main,/content/CVPR2026/html/Yan_Adaptive_Anisotropic_Gaussian_Splatting_for_Multi-contrast_MRI_Arbitrary-Scale_Super-Resolution_with_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Yan_Adaptive_Anisotropic_Gaussian_Splatting_for_Multi-contrast_MRI_Arbitrary-Scale_Super-Resolution_with_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yan_Adaptive_Anisotropic_Gaussian_Splatting_for_Multi-contrast_MRI_Arbitrary-Scale_Super-Resolution_with_CVPR_2026_paper.pdf,http_error,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>,2,2026-09-20T02:34:56+08:00
AI,CVPR,2026,Perceptual 3D Simulation With Physical World Modeling,,main,/content/CVPR2026/html/Lee_Perceptual_3D_Simulation_With_Physical_World_Modeling_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/html/Lee_Perceptual_3D_Simulation_With_Physical_World_Modeling_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lee_Perceptual_3D_Simulation_With_Physical_World_Modeling_CVPR_2026_paper.pdf,http_error,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>,2,2026-09-20T02:34:57+08:00
